gen,best_fitness,mut
1,0.3036885216832161,0.2
2,0.30343946483917533,0.2
3,0.303570893779397,0.2
4,0.30346749066375195,0.2
5,0.30346304406411945,0.2
6,0.30355440005660056,0.2
7,0.3039163031615317,0.2
8,0.30334295793436467,0.2
9,0.3034601339139044,0.2
10,0.3034957216121256,0.2
11,0.30390422204509376,0.2
12,0.30369159202091395,0.2
13,0.3037691853940487,0.2
14,0.3036089904606342,0.2
15,0.30386495306156575,0.2
16,0.3035262193996459,0.2
17,0.3034134965389967,0.2
18,0.30363832898437976,0.2
19,0.3036321957595646,0.2
20,0.30347625999711453,0.2
21,0.30362226157449185,0.2
22,0.30394113129004835,0.2
23,0.3033731893636286,0.2
24,0.3035166477318853,0.2
25,0.3035395675804466,0.2
26,0.30357425631955265,0.2
27,0.30354048423469066,0.2
28,0.3036419783718884,0.2
29,0.30354851339943706,0.2
30,0.3033775249030441,0.2
31,0.3035194884985685,0.2
32,0.30355197046883403,0.2
33,0.30350227183662354,0.2
34,0.30342892901971935,0.2
35,0.3036430468317121,0.2
36,0.3034414045512676,0.2
37,0.303396637737751,0.2
38,0.30355051341466605,0.2
39,0.3035603307187557,0.2
40,0.30342741538770496,0.2
41,0.3033940055873245,0.2
42,0.30352076813578605,0.2
43,0.30357278808951377,0.2
44,0.30337574328295885,0.2
45,0.3034593546297401,0.2
46,0.3037774604279548,0.2
47,0.3034046589862555,0.2
48,0.3034751647617668,0.2
49,0.30353396008722483,0.2
50,0.3035061687231064,0.2
