gen,best_fitness,mut
1,-0.121401966,0.2
2,-0.12141365,0.2
3,-0.12144728,0.2
4,-0.121455505,0.2
5,-0.12132471,0.2
6,-0.12112182,0.2
7,-0.12148977,0.2
8,-0.12126679,0.2
9,-0.12141843,0.2
10,-0.12148175,0.2
11,-0.12154356,0.2
12,-0.12150911,0.2
13,-0.12142802,0.2
14,-0.12134244,0.2
15,-0.12153958,0.2
16,-0.12132007,0.2
17,-0.121323824,0.2
18,-0.12123919,0.2
19,-0.121534035,0.2
20,-0.12153823,0.2
21,-0.12163439,0.2
22,-0.12135048,0.2
23,-0.121323936,0.2
24,-0.12149117,0.2
25,-0.121470995,0.2
26,-0.12145657,0.2
27,-0.12145336,0.2
28,-0.121225655,0.2
29,-0.121533096,0.2
30,-0.12151053,0.2
31,-0.12136406,0.2
32,-0.12142795,0.2
33,-0.12123939,0.2
34,-0.1214476,0.2
35,-0.121297315,0.2
36,-0.121366754,0.2
37,-0.12143584,0.2
38,-0.12133493,0.2
39,-0.12143868,0.2
40,-0.12129475,0.2
