gen,best_fitness,mut
1,0.0035980341,0.2
2,0.0035863526,0.2
3,0.0035527162,0.2
4,0.003544495,0.2
5,0.0036752876,0.2
6,0.0038781816,0.2
7,0.0035102316,0.2
8,0.0037332128,0.2
9,0.0035815649,0.2
10,0.0035182498,0.2
11,0.0034564405,0.2
12,0.0034908887,0.2
13,0.0035719776,0.2
14,0.0036575545,0.2
15,0.0034604238,0.2
16,0.0036799312,0.2
17,0.0036761747,0.2
18,0.0037608072,0.2
19,0.003465964,0.2
20,0.0034617707,0.2
21,0.003365614,0.2
22,0.0036495158,0.2
23,0.0036760655,0.2
24,0.003508829,0.2
25,0.0035290048,0.2
26,0.0035434284,0.2
27,0.0035466377,0.2
28,0.0037743442,0.2
29,0.003466903,0.2
30,0.0034894706,0.2
31,0.0036359464,0.2
32,0.003572049,0.2
33,0.0037606105,0.2
34,0.0035523989,0.2
35,0.0037026815,0.2
36,0.0036332437,0.2
37,0.0035641573,0.2
38,0.0036650666,0.2
39,0.0035613165,0.2
40,0.0037052513,0.2
