gen,best_fitness,mut
1,0.3035008583217859,0.2
2,0.3036525756586343,0.2
3,0.30375768705271183,0.2
4,0.3035612639039755,0.2
5,0.30365704856812953,0.2
6,0.30383373512886463,0.2
7,0.30349346990697085,0.2
8,0.30360543210990726,0.2
9,0.3036511297803372,0.2
10,0.30380545295774936,0.2
11,0.30394738651812075,0.2
12,0.30375169957987963,0.2
13,0.3037410296499729,0.2
14,0.30348358158953487,0.2
15,0.3034043395426124,0.2
16,0.3034963213838637,0.2
17,0.3034374203532934,0.2
18,0.3035270587541163,0.2
19,0.30387809495441614,0.2
20,0.3037481894250959,0.2
21,0.30342443026602267,0.2
22,0.30366322393529116,0.2
23,0.3038742204196751,0.2
24,0.30364721636287867,0.2
25,0.30346146686933934,0.2
26,0.30365218077786266,0.2
27,0.3036009200848639,0.2
28,0.3038133298512548,0.2
29,0.30339309498667716,0.2
30,0.3039180815219879,0.2
31,0.30350963859818875,0.2
32,0.30360234011895953,0.2
33,0.3036043361760676,0.2
34,0.3039633000269532,0.2
35,0.3035600406117737,0.2
36,0.3035598129034042,0.2
37,0.3035881826188415,0.2
38,0.3036723760422319,0.2
39,0.30355292786844074,0.2
40,0.3034974233713001,0.2
41,0.3035391307901591,0.2
42,0.30357214966788887,0.2
43,0.30343977636657654,0.2
44,0.3037258178927004,0.2
45,0.30360708916559814,0.2
46,0.30360977463424205,0.2
47,0.3035802663769573,0.2
48,0.3037282828707248,0.2
49,0.3036797651555389,0.2
50,0.30351256667636334,0.2
51,0.3035385803785175,0.2
52,0.30361159606836735,0.2
53,0.30346025684848427,0.2
54,0.30342658907175063,0.2
55,0.30369488610886036,0.2
56,0.3036262802314013,0.2
57,0.30351291033439337,0.2
58,0.30373342749662696,0.2
59,0.3036456745583564,0.2
60,0.3035926941782236,0.2
61,0.3035937998909503,0.2
62,0.3035822957288474,0.2
63,0.30354691757820546,0.2
64,0.3034471717663109,0.2
65,0.3038074681069702,0.2
66,0.30367132085375487,0.2
67,0.3037650242447853,0.2
68,0.30333951762877404,0.2
69,0.30356708257459103,0.2
70,0.30370687316171824,0.2
71,0.30340040144510566,0.2
72,0.3037054398562759,0.2
73,0.30376271083950995,0.2
74,0.30368939037434756,0.2
75,0.3037038349546492,0.2
76,0.3038248696364462,0.2
77,0.30365567998960613,0.2
78,0.3035955987405032,0.2
79,0.30369080901145934,0.2
80,0.3034384671598673,0.2
81,0.3036809935700148,0.2
82,0.3035494230687618,0.2
83,0.3035691417288035,0.2
84,0.30352128339000045,0.2
85,0.3034002193715423,0.2
86,0.3034936242736876,0.2
87,0.3035471722949296,0.2
88,0.30370112853124737,0.2
89,0.3036224916111678,0.2
90,0.3034053816925734,0.2
91,0.30354418088681995,0.2
92,0.3035395398736,0.2
93,0.303625962883234,0.2
94,0.3033797107171267,0.2
95,0.3034116294700652,0.2
96,0.3035482251551002,0.2
97,0.3035493967588991,0.2
98,0.30343051250092684,0.2
99,0.30356024876236914,0.2
100,0.30358068756759166,0.2
101,0.3036258199252188,0.2
102,0.3037575492169708,0.2
103,0.3035110064782202,0.2
104,0.3035220116842538,0.2
105,0.3036407224833965,0.2
106,0.30370988785289227,0.2
107,0.30358843128196894,0.2
108,0.30351742445491253,0.2
109,0.3036417774390429,0.2
110,0.3035619996488094,0.2
111,0.30350389489904045,0.2
112,0.303696407424286,0.2
113,0.30363947986625134,0.2
114,0.30364736816845833,0.2
115,0.30347135215997695,0.2
116,0.30348144699819385,0.2
117,0.30343447807244955,0.2
118,0.3036439055111259,0.2
119,0.3036360591184348,0.2
120,0.3037060019094497,0.2
