gen,best_fitness,mut
1,0.0036885217,0.2
2,0.0034394648,0.2
3,0.0035708938,0.2
4,0.0034674907,0.2
5,0.003463044,0.2
6,0.0035544,0.2
7,0.003916303,0.2
8,0.003342958,0.2
9,0.003460134,0.2
10,0.0034957216,0.2
11,0.003904222,0.2
12,0.003691592,0.2
13,0.0037691854,0.2
14,0.0036089905,0.2
15,0.003864953,0.2
16,0.0035262194,0.2
17,0.0034134965,0.2
18,0.003638329,0.2
19,0.0036321958,0.2
20,0.00347626,0.2
21,0.0036222616,0.2
22,0.0039411313,0.2
23,0.0033731894,0.2
24,0.0035166477,0.2
25,0.0035395676,0.2
26,0.0035742563,0.2
27,0.0035404842,0.2
28,0.0036419784,0.2
29,0.0035485134,0.2
30,0.003377525,0.2
31,0.0035194885,0.2
32,0.0035519705,0.2
33,0.0035022718,0.2
34,0.003428929,0.2
35,0.0036430468,0.2
36,0.0034414046,0.2
37,0.0033966377,0.2
38,0.0035505134,0.2
39,0.0035603307,0.2
40,0.0034274154,0.2
41,0.0033940056,0.2
42,0.0035207681,0.2
43,0.003572788,0.2
44,0.0033757433,0.2
45,0.0034593546,0.2
46,0.0037774604,0.2
47,0.003404659,0.2
48,0.0034751648,0.2
49,0.00353396,0.2
50,0.0035061687,0.2
51,0.0035028083,0.2
52,0.003543859,0.2
53,0.0035413292,0.2
54,0.0036750406,0.2
55,0.0037992091,0.2
56,0.0036191498,0.2
57,0.0034232938,0.2
58,0.0036016994,0.2
59,0.003460015,0.2
60,0.0036107015,0.2
