gen,best_fitness,mut
1,0.3034734474029392,0.2
2,0.30362491025589405,0.2
3,0.30349159841425716,0.2
4,0.3034659474622458,0.2
5,0.30339875440113245,0.2
6,0.3036479781847447,0.2
7,0.3032712125685066,0.2
8,0.30346941291354596,0.2
9,0.3038446441758424,0.2
10,0.30375494523905217,0.2
11,0.30361148454248904,0.2
12,0.3035369978286326,0.2
13,0.3036748335696757,0.2
14,0.30353961321525275,0.2
15,0.303522265702486,0.2
16,0.303424022346735,0.2
17,0.3033516406547278,0.2
18,0.3035138053353876,0.2
19,0.3035218254197389,0.2
20,0.30376334716565906,0.2
21,0.3033749674912542,0.2
22,0.3035042525269091,0.2
23,0.30353658688254653,0.2
24,0.3033157467842102,0.2
25,0.3037324025761336,0.2
26,0.3035598881077021,0.2
27,0.30340063241310417,0.2
28,0.3034496081061661,0.2
29,0.3037516658194363,0.2
30,0.30394043792039155,0.2
31,0.3034172886516899,0.2
32,0.3033511600922793,0.2
33,0.30351628893986343,0.2
34,0.3035791762638837,0.2
35,0.3037217584904283,0.2
36,0.30356400990858673,0.2
37,0.3035150167532265,0.2
38,0.3035084912087768,0.2
39,0.303573773894459,0.2
40,0.3035086725838482,0.2
41,0.3036345466505736,0.2
42,0.3035893872845918,0.2
43,0.3032393701840192,0.2
44,0.30355906528420745,0.2
45,0.3037071022670716,0.2
46,0.30350129208527504,0.2
47,0.3036530203651637,0.2
48,0.3033959744032472,0.2
49,0.30344831286929547,0.2
50,0.3036238252650946,0.2
51,0.3034326878376305,0.2
52,0.30369808683171867,0.2
53,0.30340546458028256,0.2
54,0.3032969247549772,0.2
55,0.30360240577720105,0.2
56,0.30326011702418326,0.2
57,0.3033995017874986,0.2
58,0.30365711003541945,0.2
59,0.3034682743716985,0.2
60,0.3035016976762563,0.2
