gen,best_fitness,mut
1,0.3035980341490358,0.2
2,0.3035863525699824,0.2
3,0.30355271622538565,0.2
4,0.30354449497535824,0.2
5,0.3036752875894308,0.2
6,0.3038781815674156,0.2
7,0.30351023161783813,0.2
8,0.3037332128267735,0.2
9,0.30358156487345694,0.2
10,0.3035182498395443,0.2
11,0.30345644052140414,0.2
12,0.3034908887464553,0.2
13,0.3035719776060432,0.2
14,0.3036575545091182,0.2
15,0.30346042378805577,0.2
16,0.30367993116378783,0.2
17,0.3036761746741831,0.2
18,0.30376080721616744,0.2
19,0.3034659639932215,0.2
20,0.3034617707133293,0.2
21,0.3033656139858067,0.2
22,0.3036495157983154,0.2
23,0.30367606547661125,0.2
24,0.30350882904604076,0.2
25,0.30352900475263594,0.2
26,0.30354342837817966,0.2
27,0.3035466377157718,0.2
28,0.3037743442226201,0.2
29,0.30346690299920737,0.2
30,0.3034894705750048,0.2
31,0.30363594642840325,0.2
32,0.3035720490850508,0.2
33,0.30376061047427355,0.2
34,0.30355239887721835,0.2
35,0.30370268151164054,0.2
36,0.3036332437302917,0.2
37,0.30356415729038416,0.2
38,0.30366506655700504,0.2
39,0.30356131652370094,0.2
40,0.30370525126345455,0.2
41,0.30352556142024695,0.2
42,0.3035474032629281,0.2
43,0.3032863498199731,0.2
44,0.30361389108002185,0.2
45,0.30344109535217284,0.2
46,0.30379430735483764,0.2
47,0.3035198770929128,0.2
48,0.3038141992408782,0.2
49,0.303432311816141,0.2
50,0.3037471621762961,0.2
51,0.30346138328313826,0.2
52,0.30388707197271286,0.2
53,0.3034034780692309,0.2
54,0.3034956585150212,0.2
55,0.3035829877015203,0.2
56,0.30382768153212963,0.2
57,0.30398926297202705,0.2
58,0.30349462102167307,0.2
59,0.3035150919575244,0.2
60,0.30343021540902554,0.2
